Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,14400,14400,11600,12100,12300,11800,12000,10100,9300,9400,13800,12700,12600,11700,12400,8500,8400,9200,10800,11400,12500,13300,15100,16900,18300,26900,20800,24300,36900,32000,24297,32270,32605,31219,33517,36045,36170,37284,36786,33285,41600.55497,43354,40081,42831,50239,41544,46405,48971,39730
Caribbean small states,35100,34100,35300,27400,28800,45500,60300,55300,54200,72100,76400,72600,99200,111600,113900,134100,136300,133600,133000,131800,126300,137200,134300,139300,144800,149500,137200,112900,114300,148100,138632,155940,137987,137727,100958,101132,99817,104274,104600,92285,126300,147475.4384,171025.6263,198637,252495,247773,245933,250510,244659.3858
Cuba,15600,17900,19400,17400,15200,15800,17100,13300,17100,17500,17200,15900,18000,20300,17100,16000,18700,19400,17600,18900,19400,12000,9900,8600,12500,12800,14400,16800,19700,15700,12264,11728,9773,8998,10937,11484,11533,11874,11686,10653,21235.45028,18302.85837,15869.7722,23292,15468,17592,20058,13144,8733.666
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2600,3100,4000,4300,2000,3500,4700,5200,5200,5400,6200,5700,5700,5900,6200,6100,6400,6400,6600,6700,7600,8000,10300,10800,11500,10900,10600,11500,12000,12100,12551,13321,15081,16908,19073,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,2994,8698,5456
Czech Republic,12500,31900,39900,38900,42200,46000,60300,46100,47000,48000,39100,29300,18700,20000,20900,21700,22200,21800,22100,24200,22300,20200,23100,24800,23500,26100,26900,28300,29500,34800,40027,44164,46574,52127,66134,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,38304,43878,50387,50694
Germany,143100,153800,166100,151900,180300,176800,179300,181200,183500,183200,187300,186600,188500,195400,201900,214700,234100,269100,294300,310800,344200,406600,458000,459200,521000,526600,566600,645900,673300,709800,738297,762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,971803.4316,1021899.939,985668.7692,954874,946082,967453,962803,955827,922648.6435
Djibouti,,,,,,,,,1500,1500,2800,3100,3200,3800,3900,3200,3900,2100,3900,3900,3900,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,50600,64700,69800,70700,67200,66100,67700,67600,70000,74300,69700,64000,69200,77700,62000,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,,,,,,,,,,,,,,
Dominican Republic,8600,3900,3900,4200,4200,3700,10000,11300,10700,5900,5000,4300,5600,6100,6800,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,,,,,,,,,,,1552,2286,2303,1908,1584,1421,1170,,
Algeria,14800,17400,19300,26200,29300,31900,34400,32900,35000,34800,36500,38200,38700,40300,43400,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40202,49274,46015,44315,48531,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,65940,73465,74714,77463
East Asia & Pacific (excluding high income),,,,,305900,335000,352000,355500,364500,410900,420500,460300,478800,489500,591400,604300,637600,699800,765400,740800,804100,823400,889900,910000,1039100,1138400,1304200,1223700,1241700,1149800,1215806,1522837,1615064,1586155,2067761,2219532,2454357,2702754,2798473,3094982,3848153.597,4200261.077,4541206.004,4876883.318,5445735.692,5873169,6432082,6920314.67,7384072.855
Early-demographic dividend,851900,785500,848000,903200,922300,1010000,1094400,1135000,1180300,1264700,1329500,1335400,1356200,1443000,1538700,1537900,1539900,1575700,1595600,1628300,1603200,1559100,1692000,1695900,1828700,1804800,1925100,1985900,1992200,2043100,2077309,2197664,2027711,2065419,2360942,2441945,2670479,2893009,2852615,2986969,3940298.167,4158415.086,4357526.487,4574583.464,4976915.633,5220321,5700375,5886141.088,6188980.518
East Asia & Pacific,,,,,804900,823000,853800,1094900,1147700,1222500,1232000,1250500,1262800,1289200,1393400,1440800,1518900,1618700,1744300,1745100,1819300,1996000,2142700,2236200,2467300,2644000,2898700,2976700,3010400,2784900.001,2884999,3230312,3472124,3421353,3681701,3879996,4174539,4441653,4597611,4885072,6334923.952,6627354.955,6896897.7,7391410.046,8025736.249,8575632,9231486,9792841.59,10252929.86
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,1024700,918500,852800,720500,636600,528000,600900,608451,635112,624809,666651,729602,755242,826249,890805,994702,1006505,1182579.227,1328444.386,1416869.82,1563901.503,1696293.52,1805288,1844252,1945388,2045469.917
